Date,Position,Track Name,Artist,Streams,Date,Region,Continent
2017-01-08,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2802693,2017-01-08,global,
2017-01-08,5,Closer,The Chainsmokers,2697878,2017-01-08,global,
2017-01-08,6,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,2658820,2017-01-08,global,
2017-01-08,7,Say You Won't Let Go,James Arthur,2371671,2017-01-08,global,
2017-01-08,8,Don't Wanna Know,Maroon 5,2339709,2017-01-08,global,
2017-01-08,9,Fake Love,Drake,2288806,2017-01-08,global,
2017-01-08,10,Let Me Love You,DJ Snake,2197149,2017-01-08,global,
2017-01-09,1,Shape of You,Ed Sheeran,7261007,2017-01-09,global,
2017-01-09,2,Castle on the Hill,Ed Sheeran,4840898,2017-01-09,global,
2017-01-09,3,Starboy,The Weeknd,3364512,2017-01-09,global,
2017-01-09,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3046633,2017-01-09,global,
2017-01-09,5,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3042565,2017-01-09,global,
2017-01-09,6,Closer,The Chainsmokers,2829337,2017-01-09,global,
2017-01-09,7,Say You Won't Let Go,James Arthur,2568220,2017-01-09,global,
2017-01-09,8,Don't Wanna Know,Maroon 5,2489412,2017-01-09,global,
2017-01-09,9,I Feel It Coming,The Weeknd,2432378,2017-01-09,global,
2017-01-09,10,Fake Love,Drake,2420381,2017-01-09,global,
2017-01-10,1,Shape of You,Ed Sheeran,7145757,2017-01-10,global,
2017-01-10,2,Castle on the Hill,Ed Sheeran,4608104,2017-01-10,global,
2017-01-10,3,Starboy,The Weeknd,3424457,2017-01-10,global,
2017-01-10,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3157514,2017-01-10,global,
2017-01-10,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3094116,2017-01-10,global,
2017-01-10,6,Closer,The Chainsmokers,2880750,2017-01-10,global,
2017-01-10,7,Say You Won't Let Go,James Arthur,2636733,2017-01-10,global,
2017-01-10,8,Don't Wanna Know,Maroon 5,2559976,2017-01-10,global,
2017-01-10,9,I Feel It Coming,The Weeknd,2512007,2017-01-10,global,
2017-01-10,10,Fake Love,Drake,2462919,2017-01-10,global,
2017-01-11,1,Shape of You,Ed Sheeran,7193934,2017-01-11,global,
2017-01-11,2,Castle on the Hill,Ed Sheeran,4541568,2017-01-11,global,
2017-01-11,3,Starboy,The Weeknd,3523086,2017-01-11,global,
2017-01-11,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3247065,2017-01-11,global,
2017-01-11,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3192419,2017-01-11,global,
2017-01-11,6,Closer,The Chainsmokers,2954519,2017-01-11,global,
2017-01-11,7,Say You Won't Let Go,James Arthur,2691922,2017-01-11,global,
2017-01-11,8,Don't Wanna Know,Maroon 5,2630434,2017-01-11,global,
2017-01-11,9,I Feel It Coming,The Weeknd,2600510,2017-01-11,global,
2017-01-11,10,Fake Love,Drake,2545030,2017-01-11,global,
2017-01-12,1,Shape of You,Ed Sheeran,7081620,2017-01-12,global,
2017-01-12,2,Castle on the Hill,Ed Sheeran,4318590,2017-01-12,global,
2017-01-12,3,Starboy,The Weeknd,3565509,2017-01-12,global,
2017-01-12,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3296224,2017-01-12,global,
2017-01-12,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3204571,2017-01-12,global,
2017-01-12,6,Closer,The Chainsmokers,2978360,2017-01-12,global,
2017-01-12,7,Say You Won't Let Go,James Arthur,2700028,2017-01-12,global,
2017-01-12,8,I Feel It Coming,The Weeknd,2653707,2017-01-12,global,
2017-01-12,9,Don't Wanna Know,Maroon 5,2629010,2017-01-12,global,
2017-01-12,10,Fake Love,Drake,2574514,2017-01-12,global,
2017-01-13,1,Shape of You,Ed Sheeran,7275946,2017-01-13,global,
2017-01-13,2,Castle on the Hill,Ed Sheeran,4195411,2017-01-13,global,
2017-01-13,3,Starboy,The Weeknd,3747787,2017-01-13,global,
2017-01-13,4,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,3468827,2017-01-13,global,
2017-01-13,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3412242,2017-01-13,global,
2017-01-13,6,Closer,The Chainsmokers,3080310,2017-01-13,global,
2017-01-13,7,I Feel It Coming,The Weeknd,2803318,2017-01-13,global,
2017-01-13,8,Fake Love,Drake,2735247,2017-01-13,global,
2017-01-13,9,Don't Wanna Know,Maroon 5,2716839,2017-01-13,global,
2017-01-13,10,Say You Won't Let Go,James Arthur,2712009,2017-01-13,global,
2017-01-14,1,Shape of You,Ed Sheeran,7093868,2017-01-14,global,
2017-01-14,2,Castle on the Hill,Ed Sheeran,4007488,2017-01-14,global,
2017-01-14,3,Starboy,The Weeknd,3663324,2017-01-14,global,
2017-01-14,4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,3458474,2017-01-14,global,
